City,Country,Date,Lat,Longt,Temp,Humidity,Cloudiness,Wind Speed
Lagoa,PT,1594786319,39.05,-27.98,68.49,80,0,4.83
Verāval,IN,1594786908,20.9,70.37,85.08,78,100,11.7
Kiryat Gat,IL,1594786908,31.61,34.76,73.0,68,0,1.25
Korla,CN,1594786908,41.76,86.15,87.4,16,29,3.51
Bay Roberts,CA,1594786722,47.6,-53.26,51.01,1,100,14.47
Kushiro,JP,1594786844,42.98,144.37,59.0,82,75,6.93
Tautira,PF,1594786909,-17.73,-149.15,78.8,83,75,5.82
Quatre Cocos,MU,1594786909,-20.21,57.76,75.0,83,40,14.99
Intipucá,SV,1594786909,13.2,-88.05,76.17,87,23,2.71
Assiut,EG,1594786909,27.18,31.18,75.2,50,0,4.7
Faanui,PF,1594786909,-16.48,-151.75,77.72,83,1,13.44
Yakeshi,CN,1594786909,49.28,120.73,88.57,31,99,6.13
Naliya,IN,1594786909,23.27,68.83,87.01,67,78,9.62
Macusani,PE,1594786909,-14.08,-70.43,32.85,92,27,1.41
Fukuechō,JP,1594786909,32.69,128.84,73.4,83,75,6.93
Novopskov,UA,1594786909,49.55,39.09,60.22,82,100,16.31
Clyde River,CA,1594786910,70.47,-68.59,51.8,76,90,4.7
Shelbyville,US,1594786910,35.48,-86.46,73.4,88,1,5.01
Fereydūnkenār,IR,1594786910,36.69,52.52,81.41,69,1,4.54
Puerto Baquerizo Moreno,EC,1594786807,-0.9,-89.6,67.12,90,100,8.12
Luzilândia,BR,1594786911,-3.46,-42.37,71.67,91,1,3.49
Shingū,JP,1594786313,33.73,135.98,78.8,74,75,8.05
Petropavlovsk-Kamchatskiy,RU,1594786911,53.05,158.65,60.8,82,88,15.66
Chui,UY,1594786911,-33.7,-53.46,36.01,83,0,5.93
Siddipet,IN,1594786911,18.1,78.85,75.83,90,100,3.38
Iqaluit,CA,1594786911,63.75,-68.51,50.0,81,20,7.78
Jacqueville,CI,1594786911,5.21,-4.41,75.2,94,20,4.7
Mahébourg,MU,1594786911,-20.41,57.7,73.4,83,40,14.99
Puerto Carreño,CO,1594786911,6.19,-67.49,75.25,92,94,1.5
Mahon,ES,1594786911,39.89,4.27,64.4,88,20,4.7
Pangnirtung,CA,1594786912,66.15,-65.71,54.05,56,66,8.16
Beaverlodge,CA,1594786912,55.22,-119.44,64.4,48,90,18.34
Iracoubo,GF,1594786912,5.48,-53.2,77.61,83,76,6.06
Banjar,ID,1594786912,-8.19,114.97,82.4,83,20,20.8
Calama,CL,1594786781,-22.47,-68.93,41.0,4,0,19.46
Lima,PE,1594786745,-12.04,-77.03,59.0,93,90,9.17
La Ronge,CA,1594786912,55.1,-105.28,59.0,87,75,13.87
Karpathos,GR,1594786912,35.51,27.21,73.4,78,20,29.97
Westport,US,1594786035,41.14,-73.36,70.0,96,43,7.65
Sakakah,SA,1594786912,29.97,40.21,89.6,13,0,5.82
Chase,CA,1594786912,50.82,-119.69,66.0,81,100,1.21
Ahipara,NZ,1594786913,-35.17,173.17,61.18,92,100,16.04
Markova,UA,1594786913,48.68,24.41,51.58,81,2,2.95
Yorkton,CA,1594786913,51.22,-102.47,59.0,77,75,17.22
Toguchin,RU,1594786913,55.24,84.39,63.41,72,81,11.12
Koumac,NC,1594786913,-20.57,164.28,72.97,80,56,10.74
Saurimo,AO,1594786913,-9.66,20.39,56.53,37,0,6.62
Bilma,NE,1594786913,18.69,12.92,81.21,51,3,12.71
Weiser,US,1594786913,44.25,-116.97,75.99,30,1,5.82
Janakpur Dham,NP,1594786913,26.72,85.91,88.63,68,84,11.52
Bereket,TM,1594786914,39.24,55.52,87.26,41,9,16.73
Chokurdakh,RU,1594786914,70.63,147.92,42.35,65,100,13.04
Dunedin,NZ,1594786914,-45.87,170.5,50.0,74,57,1.01
St. George's,GD,1594786914,12.06,-61.75,80.6,83,20,11.41
Uberaba,BR,1594786914,-19.75,-47.93,66.45,59,4,4.05
Kavieng,PG,1594786914,-2.57,150.8,85.21,61,100,4.18
Yeppoon,AU,1594786914,-23.13,150.73,71.6,28,0,6.93
Winnemucca,US,1594786315,40.97,-117.74,86.0,10,1,8.05
Rēzekne,LV,1594786914,56.5,27.32,50.49,81,100,7.16
Takoradze,GH,1594786915,4.88,-1.76,72.9,87,18,10.4
Butajīra,ET,1594786915,8.12,38.37,57.76,83,85,3.69
Cayenne,GF,1594786758,4.93,-52.33,77.0,83,90,8.41
Kangāvar,IR,1594786915,34.5,47.97,69.8,40,0,2.24
Honiara,SB,1594786915,-9.43,159.95,89.6,59,40,8.05
Waddān,LY,1594786915,29.16,16.14,70.59,66,0,5.79
São João da Barra,BR,1594786915,-21.64,-41.05,70.23,84,98,14.45
Karlskrona,SE,1594786915,56.16,15.59,59.0,93,99,1.12
Norman Wells,CA,1594786916,65.28,-126.83,73.4,43,40,8.05
Mogadishu,SO,1594786916,2.04,45.34,78.8,69,75,17.22
Krutinka,RU,1594786916,56.01,71.51,68.38,65,0,2.44
Teknāf,BD,1594786916,20.86,92.31,84.74,77,85,12.55
Khovd,MN,1594786916,48.01,91.64,59.58,62,99,2.13
Mount Gambier,AU,1594786916,-37.83,140.77,53.6,71,67,5.82
Biak,ID,1594786319,-0.91,122.88,79.36,84,73,8.63
Isangel,VU,1594786916,-19.55,169.27,78.8,78,75,5.82
Medveditskiy,RU,1594786916,50.79,44.71,69.3,72,99,12.8
Talnakh,RU,1594786916,69.49,88.4,50.0,100,90,11.18
Souillac,MU,1594786916,-20.52,57.52,73.4,83,40,14.99
Departamento de Maldonado,UY,1594786917,-34.67,-54.92,37.99,80,0,6.93
Belen,TR,1594786917,36.49,36.22,78.8,83,0,13.87
Lakes Entrance,AU,1594786917,-37.88,147.98,53.01,89,99,1.01
Phibun Mangsahan,TH,1594786917,15.24,105.23,91.99,79,75,4.7
Mumford,GH,1594786917,5.26,-0.76,73.06,89,0,10.18
Toora-Khem,RU,1594786917,52.47,96.11,65.73,70,100,10.85
Champerico,GT,1594786917,14.3,-91.92,80.55,78,87,9.19
Guanare,VE,1594786917,9.04,-69.74,72.52,90,33,2.68
Walvis Bay,NA,1594786917,-22.96,14.51,64.4,18,0,3.36
Saýat,TM,1594786918,38.78,63.88,89.6,29,75,6.93
Tomatlán,MX,1594786918,19.93,-105.25,79.16,88,10,1.83
Myślenice,PL,1594786918,49.83,19.94,55.0,93,41,2.24
Sirte,LY,1594786918,31.21,16.59,74.21,81,0,5.95
Coahuayana Viejo,MX,1594786918,18.73,-103.68,78.71,89,11,1.23
Bosobolo,CD,1594786918,4.18,19.9,68.36,96,97,1.01
Springdale,US,1594786918,36.19,-94.13,84.0,74,1,3.36
Padang,ID,1594786038,-0.95,100.35,86.07,59,25,3.67
Caravelas,BR,1594786919,-17.71,-39.25,70.02,94,4,2.77
Tura,IN,1594786919,25.52,90.22,81.19,81,100,3.98
San Jerónimo,PE,1594786919,-11.95,-75.28,45.79,71,78,2.62
Iskateley,RU,1594786865,67.68,53.15,48.72,95,100,11.97
Waingapu,ID,1594786560,-9.66,120.26,83.35,52,45,17.29
Islamkot,PK,1594786919,24.7,70.18,90.79,55,42,7.85
Warmbad,NA,1594786919,-28.45,18.73,39.43,69,0,11.7
Nizwá,OM,1594786919,22.93,57.53,92.79,35,0,2.46
Casablanca,MA,1594786853,33.59,-7.62,75.0,83,0,8.99
Kūhdasht,IR,1594786919,33.53,47.61,78.8,26,0,2.24
Skjervøy,NO,1594786919,70.03,20.97,59.0,62,0,16.11
Punta Alta,AR,1594786920,-38.88,-62.07,39.88,69,49,8.5
Boa Vista,BR,1594786920,2.82,-60.67,78.8,83,20,2.24
Manado,ID,1594786920,1.49,124.85,86.0,70,40,6.93
Subottsi,UA,1594786920,48.66,32.52,56.25,84,0,10.33
Novozaimka,RU,1594786920,56.49,66.92,77.67,71,0,8.03
Kutum,SD,1594786920,14.2,24.67,73.63,63,2,13.73
Mwanza,TZ,1594786769,-2.52,32.9,64.4,93,20,5.82
Phonhong,LA,1594786920,18.5,102.42,80.6,83,40,2.24
Coral Springs,US,1594786920,26.27,-80.27,80.01,83,1,4.7
Fuyang,CN,1594786921,32.9,115.82,78.13,82,85,9.01
Krasnosel'kup,RU,1594786921,65.7,82.47,56.43,56,70,14.14
Mikuni,JP,1594786921,36.22,136.15,71.6,94,75,13.87
Palmas Bellas,PA,1594786921,9.23,-80.09,77.0,88,95,2.24
College,US,1594786921,64.86,-147.8,70.0,56,75,4.7
Nanortalik,GL,1594786921,60.14,-45.24,40.78,94,100,2.42
Jacareacanga,BR,1594786921,-6.22,-57.75,71.92,55,5,1.5
Kerrville,US,1594786921,30.05,-99.14,86.0,62,1,17.22
Kahului,US,1594786330,20.89,-156.47,87.8,48,40,20.8
Porto San Giorgio,IT,1594786921,43.18,13.79,61.0,82,81,3.36
Āmli,IN,1594786922,20.28,73.02,83.05,80,74,7.45
Clifton,US,1594786804,40.86,-74.16,78.8,61,90,4.7
Amurrio,ES,1594786922,43.05,-3.0,63.0,87,75,2.24
Autazes,BR,1594786922,-3.58,-59.13,74.77,78,0,1.39
Kavaratti,IN,1594786922,10.57,72.64,82.4,83,90,11.41
Parrita,CR,1594786922,9.52,-84.32,71.6,83,100,9.17
Nome,US,1594786922,64.5,-165.41,51.8,87,90,6.93
Conway,US,1594786833,35.09,-92.44,84.2,83,66,10.29
Ilulissat,GL,1594786922,69.22,-51.1,39.2,86,0,3.4
Basoko,CD,1594786923,1.24,23.62,70.48,90,85,1.9
Nuevo Progreso,MX,1594786923,23.17,-97.95,82.0,91,3,1.99
Laredo,US,1594786781,27.51,-99.51,89.6,55,1,18.34
Batagay,RU,1594786923,67.63,134.63,72.41,39,15,5.44
Guangyuan,CN,1594786923,32.44,105.82,86.0,60,72,6.08
Monrovia,LR,1594786923,6.3,-10.8,74.95,83,100,10.54
Xichang,CN,1594786923,27.9,102.26,76.84,66,100,2.39
Krasnyy Yar,RU,1594786923,46.53,48.35,75.2,78,40,2.24
Zeya,RU,1594786923,53.75,127.27,93.6,35,85,2.46
Arrondissement de Cholet,FR,1594786860,47.17,-1.0,57.99,79,98,6.46
Coos Bay,US,1594786924,43.37,-124.22,62.01,87,1,20.8
Kenora,CA,1594786924,49.82,-94.43,66.2,63,75,9.17
Rocha,UY,1594786328,-34.48,-54.33,36.16,79,0,6.2
Maputo,MZ,1594786844,-25.97,32.59,59.0,47,0,16.11
Malanje,AO,1594786924,-9.54,16.34,52.92,43,0,4.43
Burgersdorp,ZA,1594786924,-31.0,26.33,22.28,96,0,2.13
Elk City,US,1594786924,35.41,-99.4,87.8,43,1,10.29
Bambanglipuro,ID,1594786559,-7.95,110.28,86.11,63,79,10.18
Deer Lake,CA,1594786924,49.17,-57.43,49.32,79,100,9.53
Yar-Sale,RU,1594786924,66.83,70.83,53.6,89,100,7.87
Tupik,RU,1594786924,54.43,119.93,83.68,40,36,8.1
Cadillac,US,1594786924,44.25,-85.4,69.8,60,1,3.36
Morondava,MG,1594786925,-20.28,44.28,66.22,78,0,9.15
Hazorasp,UZ,1594786925,41.32,61.07,80.6,39,0,11.41
Arrondissement de Dieppe,FR,1594786925,49.75,1.17,59.0,93,85,8.05
Lata,PT,1594786925,40.16,-8.33,71.01,81,0,6.13
Midyat,TR,1594786926,37.42,41.34,91.4,29,0,2.24
Berlevåg,NO,1594786926,70.86,29.09,44.6,87,75,6.93
Siukh,RU,1594786926,42.6,46.54,56.16,78,1,2.57
Khorramshahr,IR,1594786927,30.44,48.17,95.0,34,0,4.7
Port Keats,AU,1594786927,-14.25,129.55,85.73,28,26,2.53
Toyooka,JP,1594786927,35.53,134.83,71.6,88,75,4.7
Buta,CD,1594786927,2.79,24.73,67.44,98,74,0.87
Sasovo,RU,1594786927,54.35,41.92,65.3,87,41,15.01
Goderich,CA,1594786927,43.75,-81.72,69.01,86,89,3.0
Linqiong,CN,1594786715,30.42,103.46,82.4,54,40,4.47
Rayevskiy,RU,1594786927,54.07,54.95,77.49,64,0,9.1
Tongliao,CN,1594786928,43.61,122.27,94.35,27,0,3.76
Passo de Camaragibe,BR,1594786928,-9.24,-35.49,69.8,94,13,3.36
Vila do Maio,CV,1594786928,15.13,-23.22,78.8,78,75,8.05
Saint-Joseph,RE,1594786928,-21.37,55.62,68.0,68,6,8.05
Shirvan,AZ,1594786928,39.95,48.9,81.27,60,0,11.63
Mana,GF,1594786928,5.66,-53.78,77.04,85,24,5.88
Sulangan,PH,1594786928,11.14,123.72,85.19,66,12,2.39
Mandiana,GN,1594786928,10.63,-8.68,70.47,87,85,8.84
Skibbereen,IE,1594786928,51.55,-9.27,55.4,87,75,18.34
Poputnaya,RU,1594786928,44.51,41.44,64.0,7,93,8.01
Coquimbo,CL,1594786929,-29.95,-71.34,50.0,100,90,5.82
Akdepe,TM,1594786929,42.06,59.38,91.4,16,0,11.41
Burns Lake,CA,1594786929,54.23,-125.75,53.29,79,97,3.62
Ust'-Omchug,RU,1594786929,61.15,149.63,70.21,54,54,12.39
Poronaysk,RU,1594786929,49.22,143.12,59.09,87,79,13.02
Maturin,VE,1594786929,9.75,-63.18,73.51,97,17,3.98
Baghdad,IQ,1594786929,33.34,44.4,87.8,33,0,2.24
Geraldton,AU,1594786929,-28.77,114.6,66.2,63,90,13.87
Lompoc,US,1594786752,34.64,-120.46,60.8,82,2,9.17
Nemuro,JP,1594786929,43.32,145.57,57.2,82,75,6.93
General Roca,AR,1594786930,-39.03,-67.58,39.2,65,73,3.36
Buchanan,LR,1594786930,5.88,-10.05,74.1,80,100,7.74
Esso,RU,1594786930,55.93,158.7,68.77,49,98,10.69
Hanzhong,CN,1594786930,33.07,107.03,74.28,81,99,3.18
Jalu,LY,1594786930,29.03,21.55,73.74,60,0,9.37
Islamabad,PK,1594786930,33.71,73.13,91.99,52,71,9.17
Impfondo,CG,1594786930,1.64,18.07,69.48,94,100,1.39
Itainópolis,BR,1594786930,-7.45,-41.48,72.16,59,3,4.65
Nhulunbuy,AU,1594786930,-12.23,136.77,80.6,57,20,19.46
Maniitsoq,GL,1594786931,65.42,-52.9,44.33,79,29,7.23
Medvezh'yegorsk,RU,1594786931,62.92,34.47,54.81,81,38,5.91
Hualmay,PE,1594786931,-11.1,-77.61,60.66,87,46,7.99
Marsh Harbour,BS,1594786931,26.54,-77.06,83.86,75,92,4.83
Kapoeta,SS,1594786931,4.77,33.59,73.47,80,99,0.43
Belmonte,BR,1594786931,-15.86,-38.88,69.8,94,40,3.36
Mayo,US,1594786931,38.89,-76.51,75.2,88,1,4.7
Keene,US,1594786931,42.93,-72.28,64.99,93,90,2.1
Lanquín,GT,1594786931,15.57,-89.97,71.49,90,98,1.95
Bereda,ES,1594786931,43.27,-7.54,57.0,93,38,3.0
Port Macquarie,AU,1594786932,-31.43,152.92,63.0,55,40,21.92
Ugoofaaru,MV,1594786932,5.67,73.0,83.62,78,100,11.9
High Level,CA,1594786932,58.52,-117.14,66.2,48,20,2.24
Sande,DE,1594786932,53.5,8.01,55.0,100,20,2.24
Prince Rupert,CA,1594786932,54.32,-130.32,55.4,100,90,4.7
Pontianak,ID,1594786776,-0.03,109.33,82.08,72,98,4.72
Nesterov,RU,1594786932,54.63,22.57,54.66,89,0,2.06
Vanavara,RU,1594786932,60.34,102.28,60.06,91,78,7.4
Saldanha,ZA,1594786932,-33.01,17.94,39.2,86,0,2.24
Yangi Marg`ilon,UZ,1594786933,40.43,71.72,86.0,27,0,2.24
Hambantota,LK,1594786933,6.12,81.12,82.4,94,75,8.05
Longyearbyen,SJ,1594786933,78.22,15.64,44.6,75,75,6.93
Sistranda,NO,1594786933,63.73,8.83,51.8,100,40,1.12
Gaza,PS,1594786933,31.5,34.47,73.0,68,0,1.92
Ndendé,GA,1594786933,-2.4,11.36,70.38,87,98,1.25
Glencoe,ZA,1594786933,-28.18,30.15,31.24,85,0,0.16
Cukai,MY,1594786933,4.25,103.42,86.0,79,20,6.46
Wajima,JP,1594786933,37.4,136.9,73.4,88,75,9.17
Auriflama,BR,1594786934,-20.69,-50.55,68.63,72,0,5.95
Grand Gaube,MU,1594786934,-20.01,57.66,75.0,73,19,7.0
Millinocket,US,1594786934,45.66,-68.71,60.8,77,40,3.36
Kruisfontein,ZA,1594786934,-34.0,24.73,40.77,78,0,6.91
Sitka,US,1594786934,57.05,-135.33,55.4,82,90,13.87
Abnūb,EG,1594786934,27.27,31.15,75.2,50,0,4.7
Celestún,MX,1594786934,20.87,-90.4,82.69,73,0,14.85
Bulgan,MN,1594786934,48.81,103.53,70.74,57,20,9.48
Ambulu,ID,1594786934,-8.35,113.61,82.58,74,25,7.99
Forrest City,US,1594786935,35.01,-90.79,82.99,74,1,5.82
Bonthe,SL,1594786935,7.53,-12.51,75.72,88,100,13.13
Sangar,RU,1594786935,63.92,127.47,80.49,38,92,2.1
Ergani,TR,1594786935,38.27,39.76,82.4,43,0,2.24
Naze,JP,1594786935,28.37,129.48,80.6,94,75,8.05
Sierpc,PL,1594786935,52.86,19.67,56.86,85,0,5.14
Mokolo,CM,1594786935,10.74,13.8,68.83,83,100,4.09
Bondo,CD,1594786935,3.81,23.69,66.27,98,37,1.45
Zhangye,CN,1594786935,38.93,100.45,84.58,28,84,5.95
Taoudenni,ML,1594786936,22.68,-3.98,94.68,17,0,15.99
Victoria Point,AU,1594786936,-27.58,153.3,71.01,45,0,5.01
Jiuquan,CN,1594786936,39.74,98.52,81.09,21,77,5.44
Ust'-Charyshskaya Pristan',RU,1594786936,52.39,83.66,74.1,71,2,7.38
Ancud,CL,1594786936,-41.87,-73.82,44.01,100,90,5.82
Mabaruma,GY,1594786936,8.2,-59.78,72.7,98,14,1.77
Sioux Lookout,CA,1594786936,50.1,-91.92,66.2,63,40,5.82
San Rafael,AR,1594786711,-34.62,-68.33,46.85,52,0,1.54
Aklavik,CA,1594786936,68.22,-135.01,60.8,67,75,9.17
Aran,AZ,1594786937,40.63,46.98,78.8,61,6,3.36
San Quintín,MX,1594786560,30.48,-115.95,67.87,81,0,13.76
Bartica,GY,1594786937,6.4,-58.62,77.0,94,20,2.24
Manzhouli,CN,1594786559,49.6,117.43,83.79,47,99,13.04
Tulum,MX,1594786937,20.22,-87.47,84.0,88,20,3.36
Calbuco,CL,1594786937,-41.77,-73.13,44.6,93,90,5.82
Kamenka,RU,1594786937,51.32,42.77,64.0,85,0,8.01
Ust-Kuyga,RU,1594786937,70.02,135.6,63.86,38,19,14.38
Manoel Urbano,BR,1594786937,-8.84,-69.26,71.04,95,1,1.28
Gorontalo,ID,1594786937,0.54,123.06,82.71,83,43,3.98
Makkah al Mukarramah,SA,1594786937,21.43,39.83,91.17,13,8,5.77
Chicama,PE,1594786938,-7.84,-79.15,63.07,84,67,5.95
Al Bardīyah,LY,1594786938,31.76,25.09,73.13,83,0,8.7
Shibetsu,JP,1594786938,43.66,145.13,57.2,82,75,6.93
Wexford,IE,1594786938,52.33,-6.46,57.0,89,86,5.99
Urusha,RU,1594786938,54.05,122.9,90.37,32,43,6.58
Sabha,LY,1594786938,27.04,14.43,75.79,36,0,9.55
Danielskuil,ZA,1594786938,-28.19,23.54,25.5,91,0,12.17
Berdigestyakh,RU,1594786938,62.1,126.7,83.5,30,0,6.51
Ozernovskiy,RU,1594786939,51.5,156.52,53.55,88,97,7.74
Adrar,MR,1594786939,20.5,-10.07,93.47,23,53,9.69
Viedma,AR,1594786939,-40.81,-63.0,36.14,80,50,5.5
Iguatemi,BR,1594786939,-23.68,-54.56,56.61,74,23,3.51
Vila Velha,BR,1594786828,-20.33,-40.29,72.0,94,75,10.29
Batié,BF,1594786939,9.88,-2.92,72.81,85,100,6.98
Santa Maria,BR,1594786939,-29.68,-53.81,33.8,77,0,3.09
Yenagoa,NG,1594786939,4.92,6.26,73.78,93,100,5.44
Nieuwpoort,BE,1594786940,51.12,2.77,55.4,100,53,1.12
Middle Island,US,1594786940,40.88,-72.94,71.6,77,1,8.25
Banjarmasin,ID,1594786940,-3.32,114.59,82.4,78,40,3.36
Mayumba,GA,1594786940,-3.43,10.66,68.81,93,89,2.68
Tabou,CI,1594786940,4.42,-7.35,73.06,81,94,7.9
Santa Rosa,PH,1594786940,14.31,121.11,91.99,69,43,4.0
